rules,support,confidence,lift,count,caterory LHS,caterory RHS,Combo category
{} => {NIRVANA HOOKAH SINGLE         },0.119873682,0.119873682,1,8389,Tobacco,Tobacco,TobaccoTobacco
{POUTINE WITH FRIES            } => {NIRVANA HOOKAH SINGLE         },0.006330199,0.129759813,1.082471236,443,Food,Tobacco,FoodTobacco
{QUA  MINERAL WATER(1000ML)    } => {NIRVANA HOOKAH SINGLE         },0.005472836,0.115084135,0.960045048,383,Beverage,Tobacco,BeverageTobacco
{RED BULL ENERGY DRINK         } => {NIRVANA HOOKAH SINGLE         },0.004886971,0.183870968,1.533872698,342,Beverage,Tobacco,BeverageTobacco
{B.M.T. PANINI                 } => {SAMBUCA                       },0.004686919,0.125911708,1.992211885,328,Food,Tobacco,FoodTobacco
{B.M.T. PANINI                 } => {NIRVANA HOOKAH SINGLE         },0.004601183,0.123608445,1.031155825,322,Food,Tobacco,FoodTobacco
{CAFFE LATTE                   } => {CAPPUCCINO                    },0.004243948,0.14176611,1.814388423,297,Beverage,Beverage,BeverageBeverage
{RED BULL 2+1                  } => {SAMBUCA                       },0.004143923,0.248500428,3.931846481,290,Beverage,Tobacco,BeverageTobacco
{RED BULL ENERGY DRINK         } => {SAMBUCA                       },0.004043897,0.152150538,2.40737032,283,Beverage,Tobacco,BeverageTobacco
{B.M.T. PANINI                 } => {GREAT LAKES SHAKE                   },0.004043897,0.108637236,1.560798821,283,Food,Food,FoodFood
{B.M.T. PANINI                 } => {POUTINE WITH FRIES            },0.003800977,0.102111324,2.093132602,266,Food,Food,FoodFood
{MOROCCAN MINT TEA             } => {NIRVANA HOOKAH SINGLE         },0.003786688,0.117464539,0.979902655,265,Beverage,Tobacco,BeverageTobacco
{MASALA CHAI CUTTING           } => {CAPPUCCINO                    },0.003586637,0.112354521,1.437965269,251,Beverage,Beverage,BeverageBeverage
{RED BULL 2+1                  } => {NIRVANA HOOKAH SINGLE         },0.003086508,0.185089974,1.544041791,216,Beverage,Tobacco,BeverageTobacco
{PHILLYCREAM CHEESE &CHILLY PAN} => {POUTINE WITH FRIES            },0.002886457,0.108602151,2.226185032,202,Food,Food,FoodFood
{RED BULL ENERGY DRINK         } => {CALCUTTA MINT                 },0.002843588,0.106989247,2.264082705,199,Beverage,Tobacco,BeverageTobacco
{MAGGI NDL ARRABIATA           } => {SAMBUCA                       },0.002500643,0.198637911,3.142907149,175,Food,Tobacco,FoodTobacco
{COTTAGE CHEESE PANINI         } => {NIRVANA HOOKAH SINGLE         },0.002500643,0.108560794,0.905626593,175,Food,Tobacco,FoodTobacco
{COTTAGE CHEESE PANINI         } => {GREAT LAKES SHAKE                   },0.002472064,0.107320099,1.541875423,173,Food,Food,FoodFood
{KIT KAT SHAKE                 } => {NIRVANA HOOKAH SINGLE         },0.002443485,0.101846337,0.849613823,171,Food,Tobacco,FoodTobacco
{QUA  MINERAL WATER(500ML)     } => {NIRVANA HOOKAH SINGLE         },0.002400617,0.201680672,1.682443296,168,Food,Tobacco,FoodTobacco
{RED BULL 2+1                  } => {CALCUTTA MINT                 },0.002372039,0.142245073,3.01015866,166,Beverage,Tobacco,BeverageTobacco
{COTTAGE CHEESE PANINI         } => {POUTINE WITH FRIES            },0.002357749,0.10235732,2.098175154,165,Food,Food,FoodFood
{GARDEN FRESH PANINI           } => {GREAT LAKES SHAKE                   },0.002286302,0.129554656,1.861320864,160,Food,Food,FoodFood
{MAGGI NDLCREAM/ CHEE/GARLIC   } => {NIRVANA HOOKAH SINGLE         },0.002229145,0.12244898,1.021483429,156,Food,Tobacco,FoodTobacco
{ADD FRIES                     } => {B.M.T. PANINI                 },0.002157698,0.200797872,5.394332707,151,Food,Food,FoodFood
{MAGGI NDL ARRABIATA           } => {B.M.T. PANINI                 },0.001914778,0.152099886,4.086086087,134,Food,Food,FoodFood
{COUNTRY ROAST CHICKEN PANINI  } => {POUTINE WITH FRIES            },0.001914778,0.101361573,2.077763804,134,Food,Food,FoodFood
{MAGGI NDLCREAM/ CHEE/GARLIC   } => {GREAT LAKES SHAKE                   },0.001914778,0.105180534,1.511136135,134,Food,Food,FoodFood
{MAGGI NDLCREAM/ CHEE/GARLIC   } => {POUTINE WITH FRIES            },0.001857621,0.102040816,2.09168729,130,Food,Food,FoodFood
{COOL CALIFORNICA              } => {BERRY BLAST                   },0.001786174,0.142531357,4.911191245,125,Beverage,Beverage,BeverageBeverage
{ADD HAZELNUT FLAVOUR          } => {CAFFE LATTE                   },0.001614701,0.54589372,18.23519537,113,Beverage,Beverage,BeverageBeverage
{ULTIMATE HOT CHOCOLATE        } => {CAPPUCCINO                    },0.001571833,0.102899906,1.316960727,110,Beverage,Beverage,BeverageBeverage
{THE FERROR ROCHER SHAKE       } => {KIT KAT SHAKE                 },0.001514675,0.103012634,4.293645102,106,Food,Food,FoodFood
{MAGGI NDL ARRABIATA           } => {GREAT LAKES SHAKE                   },0.001500386,0.119182747,1.712306917,105,Food,Beverage,FoodBeverage
{BUN MASKA & CHAI              } => {MASALA CHAI CUTTING           },0.001428939,0.186567164,5.844379267,100,Food,Beverage,FoodBeverage
{THE CHOCO LATTE               } => {CAPPUCCINO                    },0.001428939,0.112107623,1.434805358,100,Beverage,Beverage,BeverageBeverage
{ADD HAZELNUT FLAVOUR          } => {CAPPUCCINO                    },0.001371781,0.463768116,5.935519439,96,Beverage,Beverage,BeverageBeverage
{QUA  MINERAL WATER(500ML)     } => {SAMBUCA                       },0.001343203,0.112845138,1.785468788,94,Food,Tobacco,FoodTobacco
{ADD FRIES                     } => {QUA  MINERAL WATER(1000ML)    },0.001286045,0.119680851,2.516678281,90,Food,Beverage,FoodBeverage
{ADD FRIES                     } => {COUNTRY ROAST CHICKEN PANINI  },0.001243177,0.115691489,6.124297888,87,Food,Food,FoodFood
{VANILLA ICECREAM              } => {GREAT LAKES SHAKE                   },0.001243177,0.412322275,5.923863158,87,Food,Food,FoodFood
{ESPRESSO                      } => {CAPPUCCINO                    },0.001228887,0.166023166,2.124841479,86,Beverage,Beverage,BeverageBeverage
{MEZE PLATTER                  } => {NIRVANA HOOKAH SINGLE         },0.001186019,0.133226324,1.111389274,83,Food,Tobacco,FoodTobacco
{ADD FRIES                     } => {PHILLYCREAM CHEESE &CHILLY PAN},0.00117173,0.109042553,4.102696751,82,Food,Food,FoodFood
{MEZE PLATTER                  } => {QUA  MINERAL WATER(1000ML)    },0.00115744,0.130016051,2.734009407,81,Food,Beverage,FoodBeverage
{ADD FRIES                     } => {SATAY CHICKEN PANINI          },0.001128862,0.105053191,7.478975022,79,Food,Food,FoodFood
{DOPPIO                        } => {CAPPUCCINO                    },0.001114572,0.148854962,1.905114839,78,Beverage,Beverage,BeverageBeverage
{VEG. CLUB WRAP                } => {POUTINE WITH FRIES            },0.001100283,0.134851138,2.764250839,77,Food,Food,FoodFood
{ADD HERB ROAST CHICKEN        } => {LEMON INFUSED CHAR GRILLED VEG},0.001043125,0.464968153,79.36439335,73,Food,Food,FoodFood
{LEMON INFUSED CHAR GRILLED VEG} => {ADD HERB ROAST CHICKEN        },0.001043125,0.17804878,79.36439335,73,Food,Food,FoodFood
{FRENCH FRIES                  } => {B.M.T. PANINI                 },0.001014547,0.265917603,7.143741149,71,Food,Food,FoodFood
{BLACK CURRANT ICED TEA        } => {LEMON ICED TEA                },0.001014547,0.181122449,5.779895679,71,Beverage,Beverage,BeverageBeverage
{VEG. CLUB WRAP                } => {GREAT LAKES SHAKE                   },0.001014547,0.124343257,1.786448336,71,Food,Food,FoodFood